GCA	Assembly_UID	Assembly_search_term	Assembly_accession	BioSample	BioSample_refetched	BioSample_UID	geo_location	isolation_source	host	disease	host_health_state	collection_date	strain	sample_name	submitter_id	organism	biosample_title	all_biosample_attributes	error	GCA_clean	Bacterial accession	Phylogroup
GCA_003018255.1	1651161	GCA_003018255.1[Assembly Accession]	GCF_003018255.1	SAMN08579579	SAMN08579579	8579579	USA	stool	Homo sapiens	Unknown	Unknown	2012-09	2012C-4502	Unknown	2012C-4502	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	collected by=Unknown; collected_by=Unknown; collection date=2012-09; collection_date=2012-09; geo_loc_name=USA; geographic location=USA; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; isolation source=stool; isolation_source=stool; lat_lon=Unknown; latitude and longitude=Unknown; pathotype=STEC; serotype=O185:H28; strain=2012C-4502		GCA_003018255.1	GCA_003018255.1	G
GCA_000351685.1	576648	GCA_000351685.1[Assembly Accession]	GCF_000351685.1	SAMN00854634	SAMN00854634	854634	Denmark	Unknown	Homo sapiens	Unknown	Unknown	2010	KTE75	Unknown	Escherichia coli KTE75	Escherichia coli KTE75	Generic sample from Escherichia coli KTE75	collection date=2010; collection_date=2010; geo_loc_name=Denmark; geographic location=Denmark; host=Homo sapiens; host sex=female; host-sex=female; host_sex=female; specific_host=Homo sapiens; strain=KTE75		GCA_000351685.1	GCA_000351685.1	G
GCA_001902655.1	915161	GCA_001902655.1[Assembly Accession]	GCF_001902655.1	SAMN05954725	SAMN05954725	5954725	Switzerland	stool sample	Homo sapiens	diarrhea	Unknown	2011	N11-1317	Unknown	EC N11-1317	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	collected by=Roger Stephan; collected_by=Roger Stephan; collection date=2011; collection_date=2011; geo_loc_name=Switzerland; geographic location=Switzerland; host=Homo sapiens; host disease=diarrhea; host_disease=diarrhea; isolation source=stool sample; isolation_source=stool sample; lat_lon=Unknown; latitude and longitude=Unknown; strain=N11-1317		GCA_001902655.1	GCA_001902655.1	G
GCA_002317955.1	1205751	GCA_002317955.1[Assembly Accession]	GCF_002317955.1	SAMN07450643	SAMN07450643	7450643	Thailand: Lamphun	Rectal swab	Chicken	Unknown	Unknown	08/03/2015	ECLC+05	Unknown	Unknown	Escherichia coli	Thailand Sample: ECLC+05	collected by=Unknown; collected_by=Unknown; collection date=2015-03-08; collection_date=2015-03-08; geo_loc_name=Thailand: Lamphun; geographic location=Thailand: Lamphun; host=Chicken; host description=laying Chicken; host disease=Unknown; host health state=Unknown; host sex=Unknown; host_description=laying Chicken; host_disease=Unknown; host_health_state=Unknown; host_sex=Unknown; isolation source=Rectal swab; isolation_source=Rectal swab; lat_lon=18.5745 N 99.0086 E; latitude and longitude=18.5745 N 99.0086 E; strain=ECLC+05		GCA_002317955.1	GCA_002317955.1	G
GCA_002193155.1	1132381	GCA_002193155.1[Assembly Accession]	GCF_002193155.1	SAMN07137398	SAMN07137398	7137398	Canada	manure	Bos taurus	Unknown	Unknown	2015	6294	Unknown	6294	Escherichia coli	Microbe sample from Escherichia coli	biomaterial provider=Dr. Moussa Diarra; biomaterial_provider=Dr. Moussa Diarra; collected by=AAFC; collected_by=AAFC; collection date=2015; collection_date=2015; depth=17 m; geo_loc_name=Canada; geographic location=Canada; host=Bos taurus; isolation source=manure; isolation_source=manure; sample type=whole organism; sample_type=whole organism; serotype=O33:H23; strain=6294		GCA_002193155.1	GCA_002193155.1	G
GCA_001268185.1	473061	GCA_001268185.1[Assembly Accession]	GCF_001268185.1	SAMEA3498456	SAMEA3498456	3963430	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	chicken fecal	E. coli E834	E. coli E834	Escherichia coli	E. coli E834 from chicken fecal	ena-checklist=ERC000011; ena-first-public=2015-08-05T17:01:45Z; ena-last-update=2018-03-09T13:26:11Z; external id=SAMEA3498456; insdc center name=Laboratory of Evolutionary Bioinformatics, SNU; insdc first public=2015-08-05T17:01:45Z; insdc last update=2018-03-09T13:26:11Z; insdc status=public; isolate=chicken fecal; sample name=E. coli E834; sample_name=E. coli E834; scientific_name=Escherichia coli; submitter id=E. coli E834		GCA_001268185.1	GCA_001268185.1	G
GCA_002810135.1	1458901	GCA_002810135.1[Assembly Accession]	GCF_002810135.1	SAMN08095557	SAMN08095557	8095557	United Kingdom	urine	Homo sapiens	Unknown	Unknown	2007/2008	K56-78	Unknown	K56-78	Escherichia coli	Urinary tract isolate of Escherichia coli str. K56-78, ST1235	collection date=2007/2008; collection_date=2007/2008; geo_loc_name=United Kingdom; geographic location=United Kingdom; host=Homo sapiens; isolation source=urine; isolation_source=urine; sample type=Whole organism; sample_type=Whole organism; strain=K56-78		GCA_002810135.1	GCA_002810135.1	G
GCA_002521265.1	1311851	GCA_002521265.1[Assembly Accession]	GCF_002521265.1	SAMN04992589	SAMN04992589	4992589	USA	intestine	Homo sapiens	Unknown	Unknown	10/02/1994	MOD1-EC6758	Unknown	Unknown	Escherichia coli	Pathogen: clinical or host-associated sample from Escherichia coli	attribute_package=clinical/host-associated; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=1994-02-10; collection_date=1994-02-10; food product origin geographic location=Zambia; food_origin=Zambia; geo_loc_name=USA; geographic location=USA; host=Homo sapiens; host disease=Unknown; host_disease=Unknown; ifsac+ category=clinical/research| human; ifsac_category=clinical/research| human; interagency food safety analytics collaboration (ifsac) category=clinical/research| human; isolate name alias=CFSAN050466,44; isolate_name_alias=CFSAN050466,44; isolation source=intestine; isolation_source=intestine; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=intestine:uberon_0000160; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=human; source_type=human; strain=MOD1-EC6758		GCA_002521265.1	GCA_002521265.1	G
GCA_002518255.1	1310361	GCA_002518255.1[Assembly Accession]	GCF_002518255.1	SAMN05468025	SAMN05468025	5468025	USA	heart	Gallus gallus domesticus	Unknown	Unknown	28/08/1982	MOD1-EC5768	Unknown	Unknown	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	attribute_package=environmental/food/other; collected by=Pennsylvania State University| Escherichia coli Reference Center; collected_by=Pennsylvania State University| Escherichia coli Reference Center; collection date=1982-08-28; collection_date=1982-08-28; food product origin geographic location=USA:DE; food_origin=USA:DE; geo_loc_name=USA; geographic location=USA; host=Gallus gallus domesticus; host disease=Unknown; host_disease=Unknown; ifsac+ category=chicken; ifsac_category=chicken; interagency food safety analytics collaboration (ifsac) category=chicken; isolate name alias=CFSAN044005, 91; isolate_name_alias=CFSAN044005, 91; isolation source=heart; isolation_source=heart; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=chicken:FOODON_03411457, heart:UBERON_0000948; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=Pennsylvania State University| Escherichia coli Reference Center; sequenced_by=Pennsylvania State University| Escherichia coli Reference Center; source type=animal; source_type=animal; strain=MOD1-EC5768		GCA_002518255.1	GCA_002518255.1	G
GCA_001262905.1	469261	GCA_001262905.1[Assembly Accession]	GCF_001262905.1	SAMN03455821	SAMN03455821	3455821	USA	cattle	Unknown	Unknown	Unknown	1999	CFSAN026806	Unknown	CFSAN026806	Escherichia coli	Pathogen: environmental/food/other sample from Escherichia coli	collected by=KSU; collected_by=KSU; collection date=1999; collection_date=1999; geo_loc_name=USA; geographic location=USA; host disease=Unknown; host_disease=Unknown; ifsac+ category=cow; ifsac_category=cow; interagency food safety analytics collaboration (ifsac) category=cow; isolate name alias=5710-2; isolate_name_alias=5710-2; isolation source=cattle; isolation_source=cattle; lat_lon=Unknown; latitude and longitude=Unknown; ontological term=cattle:foodon_03411161; project name=GenomeTrakr; project_name=GenomeTrakr; sequenced by=FDA Center for Food Safety and Applied Nutrition; sequenced_by=FDA Center for Food Safety and Applied Nutrition; serovar=O146; source type=animal; source_type=animal; strain=CFSAN026806		GCA_001262905.1	GCA_001262905.1	G
